Team,Location,Stadium,Capacity,Season
Rayo Vallecano,Madrid,Vallecas,14708,2014/2015
Real Madrid,Madrid,Santiago Bernabeu,81044,2014/2015
Real Sociedad,San Sebastian,Anoeta,32076,2014/2015
Sevilla,Seville,Ramon Sanchez Pizjuan,45500,2014/2015
Valencia,Valencia,Mestalla,55000,2014/2015
Villarreal,Villarreal,El Madrigal,25000,2014/2015
Athletic Bilbao,Bilbao,San Mames,53289,2015/2016
Atletico Madrid,Madrid,Vicente Calderon,54907,2015/2016
Barcelona,Barcelona,Camp Nou,99354,2015/2016
Celta Vigo,Vigo,Balaidos,30000,2015/2016
Deportivo La Coruna,A Coruna,Riazor,34600,2015/2016
Eibar,Eibar,Ipurua,6267,2015/2016
Espanyol,Barcelona,Cornella-El Prat,40500,2015/2016
Getafe,Madrid,Coliseum Alfonso Perez,17393,2015/2016
Granada,Granada,Nuevo Los Carmenes,23156,2015/2016
Las Palmas,Las Palmas,Gran Canaria,32150,2015/2016
Levante,Valencia,Ciutat de Valencia,26354,2015/2016
Malaga,Malaga,La Rosaleda,30044,2015/2016
Rayo Vallecano,Madrid,Vallecas,14708,2015/2016
Real Betis,Seville,Benito Villamarín,52500,2015/2016
Real Madrid,Madrid,Santiago Bernabeu,85454,2015/2016
Real Sociedad,San Sebastian,Anoeta,32076,2015/2016
Sevilla,Seville,Ramon Sanchez Pizjuan,42500,2015/2016
Sporting Gijon,Gijon,El Molinon,29029,2015/2016
Valencia,Valencia,Mestalla,55000,2015/2016
Villarreal,Villarreal,El Madrigal,24890,2015/2016
Alaves,Vitoria-Gasteiz,Mendizorrotza,19840,2016/2017
Athletic Bilbao,Bilbao,San Mames,53289,2016/2017
Atletico Madrid,Madrid,Vicente Calderon,54907,2016/2017
Barcelona,Barcelona,Camp Nou,99354,2016/2017
Celta Vigo,Vigo,Balaidos,29000,2016/2017
Deportivo La Coruna,A Coruna,Riazor,32912,2016/2017
Eibar,Eibar,Ipurua,7083,2016/2017
Espanyol,Barcelona,Cornella-El Prat,40500,2016/2017
Granada,Granada,Nuevo Los Carmenes,22094,2016/2017
Las Palmas,Las Palmas,Gran Canaria,33111,2016/2017
Leganes,Madrid,Butarque,10922,2016/2017
Malaga,Malaga,La Rosaleda,30044,2016/2017
Osasuna,Pamplona,El Sadar,18761,2016/2017
Real Betis,Seville,Benito Villamarín,51700,2016/2017
Real Madrid,Madrid,Santiago Bernabeu,85454,2016/2017
Real Sociedad,San Sebastian,Anoeta,32000,2016/2017
Sevilla,Seville,Ramon Sanchez Pizjuan,42714,2016/2017
Sporting Gijon,Gijon,El Molinon,29029,2016/2017
Valencia,Valencia,Mestalla,55000,2016/2017
Villarreal,Villarreal,Estadio de la Ceramica,24890,2016/2017
Alaves,Vitoria-Gasteiz,Mendizorrotza,19840,2017/2018
Athletic Bilbao,Bilbao,San Mames,53289,2017/2018
Atletico Madrid,Madrid,Wanda Metropolitano,67703,2017/2018
Barcelona,Barcelona,Camp Nou,99354,2017/2018
Celta Vigo,Vigo,Balaidos,29000,2017/2018
